ts,src_ip,dest_ip,signature,category,app_proto,severity,community_id
2021-09-24T16:43:44.854427Z,10.9.23.5,10.9.23.102,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,krb5,3,1:67tCCAKxE41R/mowFjhlXmTzO0k=
2021-09-24T16:43:45.109369Z,10.9.23.5,10.9.23.102,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,krb5,3,1:gBEBOkEzfQnI32WAP3hznR2jHiQ=
2021-09-24T16:43:45.306916Z,10.9.23.5,10.9.23.102,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,krb5,3,1:2C5zFFuj3yOrlGMau2OpSaHz66w=
2021-09-24T16:43:53.513276Z,10.9.23.5,10.9.23.102,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,krb5,3,1:NRvo2yYvgBI8mug21rTKV/CzlK4=
2021-09-24T16:44:19.341801Z,10.9.23.5,10.9.23.102,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,krb5,3,1:Yqjw9C+HSHk4kNMLA2OgDvCULuc=
2021-09-24T16:44:19.533724Z,10.9.23.5,10.9.23.102,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,krb5,3,1:qCekaJHoFRxjdmkDku+yvplAFs4=
2021-09-24T16:46:17.150137Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:zrPbwHLQDMP2e75lL3DGjO1WtVk=
2021-09-24T16:46:42.285321Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:o9R/mkwEP1lWipucbYMJ89mv5mE=
2021-09-24T16:47:06.571522Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:Md2xBctPKIahh44LpNP3N5f7tIw=
2021-09-24T16:47:31.584752Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:hPXLZgJnaJMEesfQ4Y9Mg+69xrA=
2021-09-24T16:47:57.524116Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:6CSsFO8tHb/AC0aZrIPheA8Kk7c=
2021-09-24T16:48:21.806194Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:s/eHiiMvoiJ+HglPp2NSWng/n8I=
2021-09-24T16:48:46.850694Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:ZJ6MZRmWLF6CqaAbcksTTITVXeo=
2021-09-24T16:49:11.959879Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:T2wZXKB3g4GH+EPJyIjnqaWZPb4=
2021-09-24T16:49:37.041649Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:ga0ppWnKgVpRIHSx7TIpvpRNn04=
2021-09-24T16:50:02.211229Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:ZSW4Ex4tbr7/tKkq3cgBlR8L4nU=
2021-09-24T16:50:27.299103Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:/fGOPJul4AJskDpIlCwEB/fqGcA=
2021-09-24T16:50:52.286349Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:FW+BuExMcPyoW3l5EVZ/zfm50sM=
2021-09-24T16:51:17.468281Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:dtXLI3Ip4I2IXpnAXNxmALeG9oI=
2021-09-24T16:51:42.636817Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:s9S8lSfoWQJlXNbPHIhTXNPLDDU=
2021-09-24T16:52:07.752092Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:LE9UCjFwagR2CB6d/+etmWnu+Ac=
2021-09-24T16:52:32.849848Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:W534xO3FmZ8u6mO7cjvHVGm/mUQ=
2021-09-24T16:52:58.030661Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:J0NSgxg2DjqeW6FaiEOLaK2Szjw=
2021-09-24T16:53:23.217762Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:2MQlPA4O44j3hfBR5kfjWLxDLm4=
2021-09-24T16:53:24.0368Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:2MQlPA4O44j3hfBR5kfjWLxDLm4=
2021-09-24T16:53:24.0368Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:2MQlPA4O44j3hfBR5kfjWLxDLm4=
